Test-Train Split (%),Max_depth,Min_Sample_Split,Time taken to train classifier (sec),Memory used (MB),CPU used,Accuracy Score,Precision Score,F1-Score,Recall Score
20.0,7,5,0.00035953521728515625,0.0,0.0,0.9666666666666667,0.9708333333333333,0.9669841269841268,0.9666666666666667
20.0,7,6,0.0003294944763183594,0.0,0.0,1.0,1.0,1.0,1.0
20.0,7,7,0.00032830238342285156,0.0,0.0,0.9666666666666667,0.9708333333333333,0.9669841269841268,0.9666666666666667
20.0,7,8,0.000331878662109375,0.0,0.0,0.9666666666666667,0.9708333333333333,0.9669841269841268,0.9666666666666667
20.0,7,9,0.0003387928009033203,0.0,0.0,0.9666666666666667,0.9708333333333333,0.9669841269841268,0.9666666666666667
20.0,7,10,0.0005283355712890625,0.0,0.0,0.9666666666666667,0.9708333333333333,0.9669841269841268,0.9666666666666667
20.0,8,2,0.0003502368927001953,0.0,0.0,1.0,1.0,1.0,1.0
20.0,8,3,0.0003542900085449219,0.0,0.0,0.9666666666666667,0.9708333333333333,0.9669841269841268,0.9666666666666667
20.0,8,4,0.00038814544677734375,0.0,0.0,0.9666666666666667,0.9708333333333333,0.9669841269841268,0.9666666666666667
20.0,8,5,0.00035452842712402344,0.0,0.0,0.9666666666666667,0.9708333333333333,0.9669841269841268,0.9666666666666667
20.0,8,6,0.0003859996795654297,0.0,0.0,1.0,1.0,1.0,1.0
20.0,8,7,0.0003161430358886719,0.0,0.0,0.9666666666666667,0.9708333333333333,0.9669841269841268,0.9666666666666667
20.0,8,8,0.0003387928009033203,0.0,0.0,1.0,1.0,1.0,1.0
20.0,8,9,0.0003218650817871094,0.0,0.0,0.9666666666666667,0.9708333333333333,0.9669841269841268,0.9666666666666667
20.0,8,10,0.0003952980041503906,0.0,0.0,1.0,1.0,1.0,1.0
20.0,9,2,0.0004029273986816406,0.0,0.0,1.0,1.0,1.0,1.0
20.0,9,3,0.0004184246063232422,0.0,0.0,1.0,1.0,1.0,1.0
20.0,9,4,0.00041484832763671875,0.0,0.0,1.0,1.0,1.0,1.0
20.0,9,5,0.00046825408935546875,0.0,0.0,0.9666666666666667,0.9708333333333333,0.9669841269841268,0.9666666666666667
20.0,9,6,0.00041413307189941406,0.0,0.0,1.0,1.0,1.0,1.0
20.0,9,7,0.0003726482391357422,0.0,0.0,1.0,1.0,1.0,1.0
20.0,9,8,0.0003540515899658203,0.0,0.0,0.9666666666666667,0.9708333333333333,0.9669841269841268,0.9666666666666667
20.0,9,9,0.0003428459167480469,0.0,0.0,0.9666666666666667,0.9708333333333333,0.9669841269841268,0.9666666666666667
20.0,9,10,0.0003275871276855469,0.0,0.0,0.9666666666666667,0.9708333333333333,0.9669841269841268,0.9666666666666667
20.0,10,2,0.00033283233642578125,0.0,0.0,1.0,1.0,1.0,1.0
20.0,10,3,0.00034332275390625,0.0,0.0,0.9666666666666667,0.9708333333333333,0.9669841269841268,0.9666666666666667
20.0,10,4,0.00034165382385253906,0.0,0.0,1.0,1.0,1.0,1.0
20.0,10,5,0.0003452301025390625,0.0,0.0,0.9666666666666667,0.9708333333333333,0.9669841269841268,0.9666666666666667
20.0,10,6,0.0006389617919921875,0.0,0.0,1.0,1.0,1.0,1.0
20.0,10,7,0.00034880638122558594,0.0,0.0,0.9666666666666667,0.9708333333333333,0.9669841269841268,0.9666666666666667
20.0,10,8,0.0003573894500732422,0.0,0.0,0.9666666666666667,0.9708333333333333,0.9669841269841268,0.9666666666666667
20.0,10,9,0.0003418922424316406,0.0,0.0,1.0,1.0,1.0,1.0
20.0,10,10,0.00035071372985839844,0.0,0.0,1.0,1.0,1.0,1.0
30.0,2,2,0.0004436969757080078,0.0078125,0.0,0.9777777777777777,0.9790123456790124,0.9775661375661375,0.9777777777777777
30.0,2,3,0.0006093978881835938,0.0,0.0,0.9777777777777777,0.9790123456790124,0.9775661375661375,0.9777777777777777
30.0,2,4,0.00033783912658691406,0.0,0.0,0.9777777777777777,0.9790123456790124,0.9775661375661375,0.9777777777777777
30.0,2,5,0.0003199577331542969,0.0,0.0,0.9777777777777777,0.9790123456790124,0.9775661375661375,0.9777777777777777
30.0,2,6,0.00033593177795410156,0.0,0.0,0.9777777777777777,0.9790123456790124,0.9775661375661375,0.9777777777777777
30.0,2,7,0.0003070831298828125,0.0,0.0,0.9777777777777777,0.9790123456790124,0.9775661375661375,0.9777777777777777
30.0,2,8,0.0003211498260498047,0.0,0.0,0.9777777777777777,0.9790123456790124,0.9775661375661375,0.9777777777777777
30.0,2,9,0.0003304481506347656,0.0,0.0,0.9777777777777777,0.9790123456790124,0.9775661375661375,0.9777777777777777
30.0,2,10,0.00032806396484375,0.0,0.0,0.9777777777777777,0.9790123456790124,0.9775661375661375,0.9777777777777777
30.0,3,2,0.0003254413604736328,0.0,0.0,0.9777777777777777,0.9790123456790124,0.9775661375661375,0.9777777777777777
30.0,3,3,0.0003218650817871094,0.0,0.0,0.9777777777777777,0.9790123456790124,0.9775661375661375,0.9777777777777777
