Test-Train Split (%),Max_depth,Min_Sample_Split,Time taken to train classifier (sec),Memory used (MB),CPU used,Accuracy Score,Precision Score,F1-Score,Recall Score
20.0,6,3,0.0029990673065185547,0.0,0.0,0.9666666666666667,0.9708333333333333,0.9669841269841268,0.9666666666666667
20.0,6,4,0.005317211151123047,0.0,64.1,0.9666666666666667,0.9708333333333333,0.9669841269841268,0.9666666666666667
20.0,6,5,0.002866983413696289,0.0,0.0,0.9666666666666667,0.9708333333333333,0.9669841269841268,0.9666666666666667
20.0,6,6,0.002833127975463867,0.0,0.0,0.9666666666666667,0.9708333333333333,0.9669841269841268,0.9666666666666667
20.0,6,7,0.002760648727416992,0.0,0.0,0.9666666666666667,0.9708333333333333,0.9669841269841268,0.9666666666666667
20.0,6,8,0.0027811527252197266,0.0,0.0,0.9666666666666667,0.9708333333333333,0.9669841269841268,0.9666666666666667
20.0,6,9,0.0027685165405273438,0.0,77.1,0.9666666666666667,0.9708333333333333,0.9669841269841268,0.9666666666666667
20.0,6,10,0.0027611255645751953,0.0,0.0,0.9666666666666667,0.9708333333333333,0.9669841269841268,0.9666666666666667
20.0,7,2,0.003084897994995117,0.0,0.0,0.9666666666666667,0.9708333333333333,0.9669841269841268,0.9666666666666667
20.0,7,3,0.0030303001403808594,0.0,0.0,0.9666666666666667,0.9708333333333333,0.9669841269841268,0.9666666666666667
20.0,7,4,0.0028290748596191406,0.0,0.0,0.9666666666666667,0.9708333333333333,0.9669841269841268,0.9666666666666667
20.0,7,5,0.0029838085174560547,0.0,76.1,0.9666666666666667,0.9708333333333333,0.9669841269841268,0.9666666666666667
20.0,7,6,0.002969980239868164,0.0,0.0,0.9666666666666667,0.9708333333333333,0.9669841269841268,0.9666666666666667
20.0,7,7,0.0028336048126220703,0.0,0.0,0.9666666666666667,0.9708333333333333,0.9669841269841268,0.9666666666666667
20.0,7,8,0.0028426647186279297,0.0,76.5,0.9666666666666667,0.9708333333333333,0.9669841269841268,0.9666666666666667
20.0,7,9,0.0028486251831054688,0.0,0.0,0.9666666666666667,0.9708333333333333,0.9669841269841268,0.9666666666666667
20.0,7,10,0.002843618392944336,0.0,0.0,0.9666666666666667,0.9708333333333333,0.9669841269841268,0.9666666666666667
20.0,8,2,0.0030469894409179688,0.0,0.0,0.9666666666666667,0.9708333333333333,0.9669841269841268,0.9666666666666667
20.0,8,3,0.0030202865600585938,0.0,0.0,0.9666666666666667,0.9708333333333333,0.9669841269841268,0.9666666666666667
20.0,8,4,0.004140615463256836,0.0,69.6,0.9666666666666667,0.9708333333333333,0.9669841269841268,0.9666666666666667
20.0,8,5,0.0028383731842041016,0.0,0.0,0.9666666666666667,0.9708333333333333,0.9669841269841268,0.9666666666666667
20.0,8,6,0.0028688907623291016,0.0,0.0,0.9666666666666667,0.9708333333333333,0.9669841269841268,0.9666666666666667
20.0,8,7,0.0034530162811279297,0.0,0.0,0.9666666666666667,0.9708333333333333,0.9669841269841268,0.9666666666666667
20.0,8,8,0.00289154052734375,0.0,76.7,0.9666666666666667,0.9708333333333333,0.9669841269841268,0.9666666666666667
20.0,8,9,0.0030357837677001953,0.0,0.0,0.9666666666666667,0.9708333333333333,0.9669841269841268,0.9666666666666667
20.0,8,10,0.0027909278869628906,0.0,77.1,0.9666666666666667,0.9708333333333333,0.9669841269841268,0.9666666666666667
20.0,9,2,0.0030045509338378906,0.0,0.0,0.9666666666666667,0.9708333333333333,0.9669841269841268,0.9666666666666667
20.0,9,3,0.003013134002685547,0.0,75.5,0.9666666666666667,0.9708333333333333,0.9669841269841268,0.9666666666666667
20.0,9,4,0.0028791427612304688,0.0,0.0,0.9666666666666667,0.9708333333333333,0.9669841269841268,0.9666666666666667
20.0,9,5,0.0038530826568603516,0.0,0.0,0.9666666666666667,0.9708333333333333,0.9669841269841268,0.9666666666666667
20.0,9,6,0.004143953323364258,0.0,69.8,0.9666666666666667,0.9708333333333333,0.9669841269841268,0.9666666666666667
20.0,9,7,0.002751588821411133,0.0,0.0,0.9666666666666667,0.9708333333333333,0.9669841269841268,0.9666666666666667
20.0,9,8,0.0027849674224853516,0.0,77.6,0.9666666666666667,0.9708333333333333,0.9669841269841268,0.9666666666666667
20.0,9,9,0.004227876663208008,0.0,69.4,0.9666666666666667,0.9708333333333333,0.9669841269841268,0.9666666666666667
20.0,9,10,0.0027968883514404297,0.0,0.0,0.9666666666666667,0.9708333333333333,0.9669841269841268,0.9666666666666667
20.0,10,2,0.003008604049682617,0.0,75.9,0.9666666666666667,0.9708333333333333,0.9669841269841268,0.9666666666666667
20.0,10,3,0.002971172332763672,0.0,0.0,0.9666666666666667,0.9708333333333333,0.9669841269841268,0.9666666666666667
20.0,10,4,0.0037555694580078125,0.0,71.8,0.9666666666666667,0.9708333333333333,0.9669841269841268,0.9666666666666667
20.0,10,5,0.003916740417480469,0.0,0.0,0.9666666666666667,0.9708333333333333,0.9669841269841268,0.9666666666666667
20.0,10,6,0.0038170814514160156,0.0,0.0,0.9666666666666667,0.9708333333333333,0.9669841269841268,0.9666666666666667
20.0,10,7,0.002735137939453125,0.0,77.6,0.9666666666666667,0.9708333333333333,0.9669841269841268,0.9666666666666667
20.0,10,8,0.002844095230102539,0.0,0.0,0.9666666666666667,0.9708333333333333,0.9669841269841268,0.9666666666666667
20.0,10,9,0.00276947021484375,0.0,77.6,0.9666666666666667,0.9708333333333333,0.9669841269841268,0.9666666666666667
20.0,10,10,0.0027756690979003906,0.0,0.0,0.9666666666666667,0.9708333333333333,0.9669841269841268,0.9666666666666667
30.0,2,2,0.001493215560913086,0.0,85.4,0.9777777777777777,0.9790123456790124,0.9775661375661375,0.9777777777777777
30.0,2,3,0.0014870166778564453,0.0,0.0,0.9777777777777777,0.9790123456790124,0.9775661375661375,0.9777777777777777
30.0,2,4,0.00495147705078125,0.0,66.2,0.9777777777777777,0.9790123456790124,0.9775661375661375,0.9777777777777777
30.0,2,5,0.0014989376068115234,0.0,0.0,0.9777777777777777,0.9790123456790124,0.9775661375661375,0.9777777777777777
30.0,2,6,0.0014705657958984375,0.0,0.0,0.9777777777777777,0.9790123456790124,0.9775661375661375,0.9777777777777777
30.0,2,7,0.0015616416931152344,0.0,0.0,0.9777777777777777,0.9790123456790124,0.9775661375661375,0.9777777777777777
30.0,2,8,0.0015115737915039062,0.0,85.1,0.9777777777777777,0.9790123456790124,0.9775661375661375,0.9777777777777777
30.0,2,9,0.0015490055084228516,0.0,0.0,0.9777777777777777,0.9790123456790124,0.9775661375661375,0.9777777777777777
30.0,2,10,0.0014834403991699219,0.0,0.0,0.9777777777777777,0.9790123456790124,0.9775661375661375,0.9777777777777777
30.0,3,2,0.002300739288330078,0.0,0.0,0.9777777777777777,0.9790123456790124,0.9775661375661375,0.9777777777777777
30.0,3,3,0.00231170654296875,0.0,0.0,0.9777777777777777,0.9790123456790124,0.9775661375661375,0.9777777777777777
30.0,3,4,0.0022687911987304688,0.0,0.0,0.9777777777777777,0.9790123456790124,0.9775661375661375,0.9777777777777777
